name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,item_url,used
ASUS GeForce GTX 1660 Ti 6GB Dual-fan Overclocked Edition VR Ready Dual HDMI DP 1.4 Gaming Graphics Card (Dual-GTX1660TI-O6G),Asus, 90YV0CT2-M0AA00 , 6 GB , GDDR6 , 215 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1830 MHz , G-Sync ,$329.99 ,https://pcbuilder.net/component-details/graphics-card/asus-90yv0ct2-m0aa00/,1
ASUS ROG STRIX GeForce GTX 1660 Ti 6GB Advanced Edition VR Ready HDMI 2.0 DP 1.4 Auto-extreme Graphics card,Asus, ROG-STRIX-GTX1660TI-A6G-GAMING , 6 GB , GDDR6 , 301 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1830 MHz , G-Sync ,N/A ,https://pcbuilder.net/component-details/graphics-card/asus-rog-strix-gtx1660ti-a6g-gaming-strix-gtx1660ti-a6g-gaming/,0
ZOTAC Gaming GeForce GTX 1660 Ti AMP 6GB GDDR6 192-bit Graphics Card Super Compact IceStorm 2.0 Cooling,ZOTAC, ZT-T16610D-10M , 6 GB , GDDR6 , , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1860 MHz , G-Sync ,$988.86 ,https://pcbuilder.net/component-details/graphics-card/zotac-zt-t16610d-10m/,1
GIGABYTE GeForce GTX 1660 Ti OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 2X Cooling System Graphic Cards,Gigabyte, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 225.65 mm , PCI Express 3.0 x16 , GeForce GTX 1660 Ti , 1500 MHz , 1800 MHz , G-Sync ,$369.92 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-gtx-1660-ti-gv-n166toc-6gd/,0
MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 Ti VENTUS XS 6G OC , 6 GB , GDDR6 , 204 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1830 MHz , G-Sync ,$599.99 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1660-ti-ventus-xs-6g-oc/,0
GIGABYTE GeForce GTX 1660 Ti Windforce OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 2X Cooling System Graphic Cards- Gv-N166TWF2OC-6GD,Gigabyte, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 264.9 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1845 MHz , G-Sync ,N/A ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-gtx-1660-ti-gv-n166twf2oc-6gd/,0
ASUS ROG Strix GeForce GTX 1660 Ti 6GB Overclocked Edition VR Ready HDMI 2.0 DP 1.4 Auto-Extreme Graphics card (STRIX-GTX1660TI-O6G-Gaming),Asus, ROG-STRIX-GTX1660TI-O6G-GAMING , 6 GB , GDDR6 , 301 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1890 MHz , G-Sync ,N/A ,https://pcbuilder.net/component-details/graphics-card/asus-rog-strix-gtx1660ti-o6g-gaming/,0
"EVGA GeForce GTX 1660 Ti XC, Overclocked, 2.75 Slot Extreme Cool, 65C Gaming, 6GB GDDR6, 06G-P4-1263-KR",EVGA, GeForce GTX 1660 Ti XC , 6 GB , GDDR6 , 189.89 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1845 MHz , G-Sync ,$349 ,https://pcbuilder.net/component-details/graphics-card/evga-geforce-gtx-1660-ti-xc-06g-p4-1263-kr/,1
ZOTAC Gaming GeForce GTX 1660 Ti 6GB GDDR6 192-Bit Gaming Graphics Card Super Compact - ZT-T16610F-10L,ZOTAC, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 173.4 mm , PCIe x16 , GeForce GTX 1660 Ti , 1500 MHz , 1770 MHz , G-Sync ,$399 ,https://pcbuilder.net/component-details/graphics-card/zotac-geforce-gtx-1660-ti-zt-t16610f-10l/,0
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card ,MSI, GeForce GTX 1660 , 6 GB , GDDR6 , 203.96 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1815 MHz , G-Sync ,$264 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1660-geforce-gtx-1660-super-ventus-xs-oc/,0
