Waktu,RTX 4090: (Indonesia),RX 7900 XT: (Indonesia),Intel Arc A770: (Indonesia),GTX 1660: (Indonesia),RX 6600: (Indonesia)
2024-10-30T01:48:00+07:00,0,0,0,0,0
2024-10-30T01:56:00+07:00,0,0,0,0,0
2024-10-30T02:04:00+07:00,0,0,0,0,0
2024-10-30T02:12:00+07:00,0,0,0,0,0
2024-10-30T02:20:00+07:00,0,0,0,0,0
2024-10-30T02:28:00+07:00,0,0,0,0,0
2024-10-30T02:36:00+07:00,0,0,0,0,0
2024-10-30T02:44:00+07:00,0,0,0,0,0
2024-10-30T02:52:00+07:00,0,0,0,0,0
2024-10-30T03:00:00+07:00,0,100,0,0,0
2024-10-30T03:08:00+07:00,0,0,0,0,0
2024-10-30T03:16:00+07:00,0,0,0,0,0
2024-10-30T03:24:00+07:00,0,0,0,0,0
2024-10-30T03:32:00+07:00,0,0,0,0,0
2024-10-30T03:40:00+07:00,0,0,0,0,0
2024-10-30T03:48:00+07:00,0,0,0,0,0
2024-10-30T03:56:00+07:00,0,0,0,81,0
2024-10-30T04:04:00+07:00,0,0,0,0,0
2024-10-30T04:12:00+07:00,0,0,0,0,0
2024-10-30T04:20:00+07:00,0,0,0,0,0
2024-10-30T04:28:00+07:00,0,0,0,0,0
2024-10-30T04:36:00+07:00,0,0,0,0,0
2024-10-30T04:44:00+07:00,0,0,0,0,0
2024-10-30T04:52:00+07:00,0,0,0,0,0
2024-10-30T05:00:00+07:00,0,0,0,0,0
2024-10-30T05:08:00+07:00,0,0,0,0,0
2024-10-30T05:16:00+07:00,0,0,0,0,0
2024-10-30T05:24:00+07:00,0,0,0,0,0
2024-10-30T05:32:00+07:00,0,0,0,0,0
2024-10-30T05:40:00+07:00,0,0,0,58,0
2024-10-30T05:48:00+07:00,0,0,0,0,0
2024-10-30T05:56:00+07:00,0,0,36,0,0
2024-10-30T06:04:00+07:00,0,0,0,0,0
2024-10-30T06:12:00+07:00,0,0,0,0,0
2024-10-30T06:20:00+07:00,0,0,0,0,0
2024-10-30T06:28:00+07:00,0,0,0,0,0
2024-10-30T06:36:00+07:00,0,0,0,0,0
2024-10-30T06:44:00+07:00,0,0,0,0,0
2024-10-30T06:52:00+07:00,0,0,0,0,0
2024-10-30T07:00:00+07:00,0,0,0,0,0
2024-10-30T07:08:00+07:00,0,0,0,0,0
2024-10-30T07:16:00+07:00,0,0,0,0,0
2024-10-30T07:24:00+07:00,0,0,0,0,0
2024-10-30T07:32:00+07:00,0,0,0,21,0
2024-10-30T07:40:00+07:00,0,0,0,0,0
2024-10-30T07:48:00+07:00,0,0,0,0,0
2024-10-30T07:56:00+07:00,0,0,0,0,0
2024-10-30T08:04:00+07:00,0,0,0,0,0
2024-10-30T08:12:00+07:00,0,0,0,0,0
2024-10-30T08:20:00+07:00,0,0,0,0,0
2024-10-30T08:28:00+07:00,0,0,0,0,0
2024-10-30T08:36:00+07:00,0,0,0,0,0
2024-10-30T08:44:00+07:00,0,0,0,0,0
2024-10-30T08:52:00+07:00,0,0,0,0,0
2024-10-30T09:00:00+07:00,0,0,0,0,0
2024-10-30T09:08:00+07:00,0,0,0,0,0
2024-10-30T09:16:00+07:00,0,0,0,0,0
2024-10-30T09:24:00+07:00,0,0,0,0,0
2024-10-30T09:32:00+07:00,0,0,0,0,0
2024-10-30T09:40:00+07:00,0,0,0,0,0
2024-10-30T09:48:00+07:00,0,0,0,0,0
2024-10-30T09:56:00+07:00,0,0,0,0,0
2024-10-30T10:04:00+07:00,0,0,0,0,0
2024-10-30T10:12:00+07:00,0,0,0,0,0
2024-10-30T10:20:00+07:00,0,0,0,0,0
2024-10-30T10:28:00+07:00,0,0,0,0,0
